Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,18:10,SQ731,Singapore Airlines,Phuket (HKT),,,On Schedule
04/04/2024,18:15,MH613,Malaysia Airlines,Kuala Lumpur (KUL),T2,,On Schedule
04/04/2024,18:15,QF35,Qantas Airways,Melbourne (MEL),T1,,On Schedule
04/04/2024,18:20,SQ883,Singapore Airlines,Hong Kong (HKG),,,On Schedule
04/04/2024,18:20,TR307,Scoot,Ho Chi Minh City (SGN),T1,,On Schedule
04/04/2024,18:20,TR425,Scoot,Penang (PEN),T1,,On Schedule
04/04/2024,18:25,CX735,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,18:25,GA836,Garuda Indonesia,Jakarta (CGK),T3,,On Schedule
04/04/2024,18:30,AK717,AirAsia,Kuala Lumpur (KUL),T4,,On Schedule
04/04/2024,18:35,AY131,Finnair,Helsinki (HEL),T1,,On Schedule
04/04/2024,18:35,TR487,Scoot,Ipoh (IPH),T1,,On Schedule
04/04/2024,18:40,TR19,Scoot,Melbourne (MEL),T1,,On Schedule
04/04/2024,18:40,TR415,Scoot,Miri (MYY),,,On Schedule
04/04/2024,18:45,3K594,Jetstar Asia,Phnom Penh (PNH),T4,,Cancelled
04/04/2024,18:45,UA29,United Airlines,San Francisco (SFO),T2,,On Schedule
04/04/2024,18:55,SQ709,Singapore Airlines,Bangkok (Suvarnabhumi) (BKK),,,On Schedule
04/04/2024,18:55,SQ877,Singapore Airlines,Taipei (TPE),,,On Schedule
04/04/2024,18:55,UL308,SriLankan Airlines,Colombo (CMB),T3,,On Schedule
04/04/2024,18:40,TR419,Scoot,Miri (MYY),T1,,On Schedule
04/04/2024,19:00,3K536,Jetstar Asia,Phuket (HKT),T4,,On Schedule
04/04/2024,19:00,QZ260,Indonesia AirAsia,Jakarta (CGK),T4,,On Schedule
04/04/2024,19:00,SQ252,Singapore Airlines,Darwin (DRW),,,On Schedule
04/04/2024,19:00,SQ509,Singapore Airlines,Bengaluru (BLR),,,On Schedule
04/04/2024,19:00,TR605,Scoot,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
04/04/2024,19:10,CX635,Cathay Pacific,Hong Kong (HKG),T4,,On Schedule
04/04/2024,19:10,SQ226,Singapore Airlines,Perth (PER),,,On Schedule
04/04/2024,19:10,SQ31,Singapore Airlines,San Francisco (SFO),,,On Schedule
04/04/2024,19:15,BY58,TUI Airways,London (Gatwick) (LGW),T2,,On Schedule
04/04/2024,19:15,SQ901,Singapore Airlines,Cebu (CEB),,,On Schedule
04/04/2024,19:20,PG961,Bangkok Airways,Koh Samui (USM),T1,,On Schedule
04/04/2024,19:20,PX392,Air Niugini,Port Moresby (POM),T1,,On Schedule
04/04/2024,19:25,SQ137,Singapore Airlines,Penang (PEN),,,On Schedule
04/04/2024,19:25,SQ165,Singapore Airlines,Siem Reap (SAI),,,On Schedule
04/04/2024,19:30,TR473,Scoot,Kuala Lumpur (KUL),T1,,On Schedule
04/04/2024,19:35,SQ893,Singapore Airlines,Hong Kong (HKG),,,On Schedule
04/04/2024,19:40,CZ8047,China Southern Airlines,Shenzhen (SZX),T1,,On Schedule
04/04/2024,19:40,TG409,Thai Airways,Bangkok (Suvarnabhumi) (BKK),T1,,On Schedule
