Date,Time,Flight Number,Airlines Name,Airport Name,Terminal,Boarding info,Status
04/04/2024,23:30,SQ322,Singapore Airlines,London (Heathrow) (LHR),T3,Check-In Row 3,On Schedule
04/04/2024,23:30,SQ378,Singapore Airlines,Barcelona (BCN),T3,Check-In Row 3,On Schedule
04/04/2024,23:35,LX177,SWISS International Airlines,Zurich (ZRH),T2,Check-In Row 4,On Schedule
04/04/2024,23:35,SQ22,Singapore Airlines,New York (Newark) (EWR),T3,Check-In Row 7,On Schedule
04/04/2024,23:40,LH779,Lufthansa,Frankfurt (FRA),T2,Check-In Row 4,On Schedule
04/04/2024,23:55,SQ26,Singapore Airlines,New York (John F Kennedy) (JFK),T3,Check-In Row 3,On Schedule
04/04/2024,23:55,SQ324,Singapore Airlines,Amsterdam (AMS),T3,Check-In Row 3,On Schedule
04/04/2024,23:55,SQ638,Singapore Airlines,Tokyo (Narita) (NRT),T2,Check-In Row 6,On Schedule
05/04/2024,00:05,SQ225,Singapore Airlines,Perth (PER),T3,Check-In Row 3,On Schedule
05/04/2024,00:05,SQ352,Singapore Airlines,Copenhagen (CPH),T3,Check-In Row 3,On Schedule
05/04/2024,00:10,SQ608,Singapore Airlines,Seoul (ICN),T2,Check-In Row 6,On Schedule
05/04/2024,00:15,SQ336,Singapore Airlines,Paris (CDG),T3,Check-In Row 3,On Schedule
05/04/2024,00:15,TR812,Scoot,Jeju (CJU),T1,Check-In Row 7,On Schedule
05/04/2024,00:25,SQ237,Singapore Airlines,Melbourne (MEL),T3,Check-In Row 3,On Schedule
05/04/2024,00:25,TR172,Scoot,Jinan (TNA),T1,Check-In Row 7,On Schedule
05/04/2024,00:30,PR510,Philippine Airlines,Manila (MNL),T1,Check-In Row 14,On Schedule
05/04/2024,00:30,SQ328,Singapore Airlines,Munich (MUC),T3,Check-In Row 3,On Schedule
05/04/2024,00:30,TR720,Scoot,Berlin (BER),T1,Check-In Row 7,On Schedule
05/04/2024,00:35,7C4056,Jeju Air,Busan (PUS),T4,Check-In Row 1,On Schedule
05/04/2024,00:40,IX681,Air India Express,Tiruchirappalli (TRZ),T2,Check-In Row 9,On Schedule
05/04/2024,00:40,KL836,KLM Royal Dutch Airlines,Amsterdam (AMS),T1,Check-In Row 2,On Schedule
05/04/2024,00:40,ZG54,ZIPAIR,Tokyo (Narita) (NRT),T1,Check-In Row 14,On Schedule
05/04/2024,00:45,SQ231,Singapore Airlines,Sydney (SYD),T3,Check-In Row 3,On Schedule
05/04/2024,00:45,SQ255,Singapore Airlines,Brisbane (BNE),T3,Check-In Row 3,On Schedule
05/04/2024,00:50,EK353,Emirates,Dubai (DXB),T1,Check-In Row 13,On Schedule
05/04/2024,00:55,MU5032,China Eastern Airlines,Beijing (Daxing) (PKX),T3,Check-In Row 10,On Schedule
05/04/2024,00:55,MU544,China Eastern Airlines,Shanghai (PVG),T3,Check-In Row 10,On Schedule
05/04/2024,01:05,TR898,Scoot,Tokyo (Narita) (NRT),T1,Check-In Row 7,On Schedule
05/04/2024,01:10,5J548,Cebu Pacific Air,Cebu (CEB),T4,Check-In Row 5,On Schedule
05/04/2024,01:10,KE646,Korean Air,Seoul (ICN),T4,,On Schedule
05/04/2024,01:10,SQ306,Singapore Airlines,London (Heathrow) (LHR),T3,Check-In Row 3,On Schedule
05/04/2024,01:15,SQ826,Singapore Airlines,Shanghai (PVG),T3,Check-In Row 3,On Schedule
05/04/2024,01:20,SQ656,Singapore Airlines,Fukuoka (FUK),T2,Check-In Row 6,On Schedule
05/04/2024,01:20,SQ672,Singapore Airlines,Nagoya (NGO),T2,Check-In Row 6,On Schedule
05/04/2024,01:25,SQ346,Singapore Airlines,Zurich (ZRH),T3,Check-In Row 3,On Schedule
05/04/2024,01:25,SQ618,Singapore Airlines,Osaka (KIX),T2,Check-In Row 6,On Schedule
05/04/2024,01:30,5J804,Cebu Pacific Air,Manila (MNL),T4,Check-In Row 5,On Schedule
05/04/2024,01:30,SQ366,Singapore Airlines,Rome (FCO),T3,Check-In Row 3,On Schedule
05/04/2024,01:30,SQ478,Singapore Airlines,Cape Town (CPT),T3,Check-In Row 3,On Schedule
05/04/2024,01:30,TR116,Scoot,Zhengzhou (CGO),T1,Check-In Row 7,On Schedule
05/04/2024,01:30,TR138,Scoot,Tianjin (TSN),T1,Check-In Row 7,On Schedule
05/04/2024,01:45,CX714,Cathay Pacific,Hong Kong (HKG),T4,Check-In Row 6,On Schedule
05/04/2024,01:45,SQ392,Singapore Airlines,Istanbul (IST),T3,Check-In Row 3,On Schedule
05/04/2024,01:45,TR186,Scoot,Qingdao (TAO),T1,Check-In Row 7,On Schedule
05/04/2024,01:50,JL38,Japan Airlines,Tokyo (Haneda) (HND),T1,Check-In Row 1,On Schedule
05/04/2024,02:00,CI756,China Airlines,Taipei (TPE),T3,Check-In Row 11,On Schedule
05/04/2024,02:00,ET639,Ethiopian Airlines,Addis Ababa (ADD),T2,Check-In Row 1,On Schedule
05/04/2024,02:00,TR2,Scoot,Sydney (SYD),T1,Check-In Row 7,On Schedule
05/04/2024,02:00,TR396,Scoot,Manila (MNL),T1,Check-In Row 7,On Schedule
05/04/2024,02:15,3K763,Jetstar Asia,Osaka (KIX),T4,Check-In Row 7,On Schedule
05/04/2024,02:15,QR945,Qatar Airways,Doha (DOH),T1,Check-In Row 3,On Schedule
05/04/2024,02:15,TW172,T'way Air,Seoul (ICN),T3,Check-In Row 8,On Schedule
05/04/2024,02:25,SQ52,Singapore Airlines,Houston (IAH),T3,Check-In Row 3,On Schedule
05/04/2024,02:25,SQ612,Singapore Airlines,Seoul (ICN),T2,Check-In Row 6,On Schedule
05/04/2024,02:30,TR18,Scoot,Melbourne (MEL),T1,Check-In Row 7,On Schedule
05/04/2024,02:35,SQ402,Singapore Airlines,New Delhi (DEL),T3,Check-In Row 3,On Schedule
05/04/2024,02:45,6E1002,IndiGo,Chennai (MAA),T2,Check-In Row 2,On Schedule
05/04/2024,02:50,MU2670,China Eastern Airlines,Nanjing (NKG),T3,Check-In Row 10,On Schedule
05/04/2024,02:50,TR156,Scoot,Shenyang (SHE),T1,Check-In Row 7,On Schedule
05/04/2024,03:00,MU2046,China Eastern Airlines,Yantai (YNT),T3,,On Schedule
05/04/2024,03:55,CZ8490,China Southern Airlines,Guangzhou (CAN),T1,Check-In Row 3,On Schedule
